"","LL07","LL09","LL11","LL08","LL10","LL12","LL13","LL15","LL17","LL14","LL16","LL18"
"ENSLAIG00005000059",2696.367274981,2327.1714178776,1653.75142804596,2620.36790401408,2122.21611455321,1497.5612833115,2048.24681037248,2236.41078593643,2591.1005356608,2468.48591534508,1566.47886127718,2338.69446834265
"ENSLAIG00005000060",239.704882979912,294.418175748437,253.364082231853,242.988135974591,235.438459549817,280.296081970508,183.103571128829,193.023549976656,161.562739282379,172.015549543375,240.996747888797,185.52961939545
"ENSLAIG00005000061",20.8439028678185,27.7044216414,19.2777019089454,24.2315038645022,40.641162660385,17.3379019775572,50.2637254079137,16.6399612048842,30.4835357136564,66.5461615021817,36.8189475941217,44.2547715989148
"ENSLAIG00005000062",0.416878057356369,0,0.688489353890906,0,0,3.61206291199109,1.79513305028263,0,0,7.53352771722811,0,1.70210659995826
"ENSLAIG00005000063",157.579905680708,126.313380026044,165.925934287708,158.850969778403,136.404821802671,198.66346015951,129.24957962035,272.8953637601,246.916639280617,165.737609779019,251.03827905083,302.97497479257
"ENSLAIG00005000064",348.926934007281,376.122741267143,358.702953377162,355.731938677483,429.768616638554,352.53734021033,366.207142257657,236.287449109355,219.481457138326,410.577260588932,145.602201849481,291.060228592863
"ENSLAIG00005000065",0.416878057356369,20.6609246139254,7005.37917583997,0,196.198716291514,7002.34516118592,762.931546370119,2342.90653764769,3216.01301779075,2185.97862594902,2868.53073528748,6403.32502904298
"ENSLAIG00005000066",49.6084888254079,346.070487283251,785.566352789524,201.256101541282,485.35825292115,882.788175690622,61.0345237096095,52798.5969030975,53446.7831667538,67.801749455053,39421.3777536153,59449.4772167422
"ENSLAIG00005000067",0,0,0,0,0,0,0,0,0,1.25558795287135,0,0
"ENSLAIG00005000068",731.620990660428,1369.25582214106,393.127421071707,626.653613829209,803.947596994512,271.62713098173,506.227520179702,668.926440436344,484.688217847137,700.618077702215,563.999333600865,702.970025782762
"ENSLAIG00005000069",51.6928791121898,57.2871091567932,8.95036160058178,31.6355744897667,76.6109273138292,7.94653840638039,16.1561974525437,9.98397672293051,3.04835357136564,8.78911567009947,3.34717705401107,1.70210659995826
"ENSLAIG00005000070",357.264495154408,243.70499715062,290.542507341962,325.77910751164,295.699493839353,313.527060760826,168.742506726567,206.335518940564,204.239689281498,183.315841119217,281.16287253693,175.316979795701
"ENSLAIG00005000072",256.380005274167,277.513782882498,236.151848384581,265.873445179955,303.640870451152,261.513354828155,466.734593073484,579.070649929969,594.428946416301,479.634597996857,423.4178973324,452.760355588897
"ENSLAIG00005000073",2.50126834413822,2.34783234249153,5.50791483112725,1.68274332392376,0.934279601388161,1.44482516479643,5.3853991508479,3.32799224097684,0,1.25558795287135,3.34717705401107,3.40421319991652
"ENSLAIG00005000074",193.014540555999,235.722367186149,319.45906020538,192.505836256878,253.656911776886,335.199438232773,330.304481252004,269.567371519124,201.191335710133,296.318756877639,381.578184157262,180.423299595576
"ENSLAIG00005000075",242.623029381407,61.9827738417763,163.171976872145,188.803800944246,72.8738089082765,151.706642303626,52.0588584581963,63.2318525785599,106.692374997798,42.689990397626,95.3945460393154,69.7863705982887
"ENSLAIG00005000076",7.08692697505828,3.28696527948814,4.13093612334544,17.5005305688071,7.47423681110529,1.44482516479643,25.1318627039569,9.98397672293051,0,25.111759057427,5.0207655810166,1.70210659995826
"ENSLAIG00005000077",9.58819531919649,7.51306349597288,5.50791483112725,6.73097329569505,8.87565621318753,5.05688807678752,3.59026610056527,0,0,7.53352771722811,1.67358852700553,0
"ENSLAIG00005000079",73.7874161520774,56.8175426882949,126.682041115927,50.4822997177129,48.5825392721844,123.532551590095,25.1318627039569,63.2318525785599,33.5318892850221,35.1564626803979,51.8812443371715,25.5315989993739
"ENSLAIG00005000080",232.617956004854,133.356877053519,141.140317547636,158.850969778403,134.536262599895,143.760103897245,183.103571128829,203.007526699587,128.030849997357,130.581147098621,264.426987266874,105.530609197412
"ENSLAIG00005000081",8478.88280857119,8212.71753403536,8340.36003303444,6720.87683575151,6129.34132490703,7472.63575232716,9647.04501221887,8156.90898263422,9663.28082122909,11801.2711690378,5464.26654067307,11204.9677475252
"ENSLAIG00005000082",718.280892825024,385.04450416861,762.846204111124,684.203435507402,602.610342895364,658.117862564776,332.099614302287,605.694587857784,725.508149985023,295.063168924768,364.842298887206,914.031244177586
"ENSLAIG00005000083",0,0,0,0,0,0,0,0,3.04835357136564,2.5111759057427,1.67358852700553,0
"ENSLAIG00005000084",588.214938929837,549.862334611516,547.34903634327,509.198129819331,486.292532522538,677.623002289528,420.061133766136,492.542851664572,323.125478564758,331.475219558037,602.491869721992,382.973984990609
"ENSLAIG00005000085",4.16878057356369,1.87826587399322,2.06546806167272,2.01929198870852,0,0,16.1561974525437,0,3.04835357136564,12.5558795287135,0,15.3189593996243
"ENSLAIG00005000086",713.695234194104,748.958517254797,424.797931350689,703.723258064918,634.375849342561,405.995871307798,992.708576806296,302.847293928892,365.802428563877,1118.72886600838,311.287466023029,408.505583989983
"ENSLAIG00005000087",336.837470343946,194.870084426797,212.74321035229,240.632295321098,194.330157088737,206.60999856589,258.499159240699,222.975480145448,91.4506071409693,200.894072459416,224.260862618741,79.9990101980382
"ENSLAIG00005000089",6473.69935268706,5714.62392162438,7157.53532304986,6142.34968098652,4053.37205062254,6951.77628041804,4933.02562217667,5321.45959332196,6398.49414629649,5906.28573030684,4883.53132180215,6096.94584105049
"ENSLAIG00005000090",1144.33026744323,1109.5855650615,1183.51319933847,1202.48837927592,1166.44808233312,1267.11166952647,1333.78385636,1025.02161022087,1286.4052071163,1456.48202533077,1017.54182441936,1074.02926457366
"ENSLAIG00005000091",505.25620551592,284.557279909973,201.727380690035,473.523971352147,255.058331178968,196.496222412315,420.061133766136,256.255402555216,222.529810709692,457.034014845172,167.358852700553,195.7422589952
"ENSLAIG00005000092",0.416878057356369,1.40869940549492,2.75395741556362,0,0.46713980069408,3.61206291199109,8.97566525141316,0,3.04835357136564,12.5558795287135,0,0
"ENSLAIG00005000094",268.469468937502,262.957222359051,295.361932819199,222.458667422721,252.255492374803,388.657969330241,330.304481252004,449.278952531873,228.626517852423,312.641400264967,373.210241522234,151.487487396285
"ENSLAIG00005000095",0,3.75653174798644,7.57338289279997,2.01929198870852,1.86855920277632,1.44482516479643,12.5659313519784,0,0,8.78911567009947,3.34717705401107,20.4252791994991
"ENSLAIG00005000096",28.7645859575895,49.7740456608204,108.781317914763,58.2229190077622,80.3480457193818,117.753250930909,131.044712670632,83.1998060244209,170.707799996476,146.903790485948,184.094737970609,180.423299595576
"ENSLAIG00005000097",1732.96208443043,2054.82286614858,2724.35237334632,1874.57606285107,2163.32441701429,2925.77095871278,3687.20328528053,5807.34646050458,4752.38321775904,4088.19437454912,6200.6454925555,5160.78721107345
"ENSLAIG00005000098",363.517666014754,304.7486380554,246.479188692944,274.287161799573,255.058331178968,247.06510318019,294.401820246352,129.791697398097,445.059621419384,315.152576170709,135.560670687448,217.869644794657
"ENSLAIG00005000099",36.6852690473605,30.0522539838915,32.3589996328726,26.9238931827802,37.8383238562205,41.8999297790966,96.9371847152621,119.807720675166,109.740728569163,99.1914482768368,150.622967430498,226.380177794449
"ENSLAIG00005000100",10.4219514339092,12.2087281809559,105.338871145309,15.1446899153139,12.6127746187402,150.261817138829,122.069047419219,136.44768188005,124.982496425991,87.8911567009947,185.768326497614,151.487487396285
"ENSLAIG00005000101",493.166741852585,423.079388116973,269.199337371344,427.75335294142,448.921348467011,334.477025650375,91.5517855644143,216.319495663494,173.756153567842,109.236151899808,443.500959656466,190.635939195325
"ENSLAIG00005000102",1388.20393099671,953.21993105156,788.320310205087,1171.18935345094,931.009622783302,592.378317566538,1816.67464688602,772.094199906626,1377.85581425727,2056.65306680328,359.82153330619,1251.04835096932
"ENSLAIG00005000103",143.822929787947,110.8176865656,164.548955579927,133.946368584332,115.850670572132,166.877306533988,109.503116067241,103.167759470282,115.837435711894,95.4246844182228,103.762488674343,137.870634596619
"ENSLAIG00005000104",27.9308298428767,17.3739593344373,4.81942547723634,15.4812385800986,14.4813338215165,3.61206291199109,14.3610644022611,3.32799224097684,3.04835357136564,10.0447036229708,0,13.6168527996661
"ENSLAIG00005000105",0,0,0,0,0,0,3.59026610056527,0,0,1.25558795287135,0,0
"ENSLAIG00005000106",71.2861478079391,46.0175139128339,97.0769988986177,63.944246309103,56.5239158839837,124.977376754892,127.454446570067,133.119689639073,140.22426428282,79.1020410308952,98.7417230933265,81.7011167979965
"ENSLAIG00005000107",0,0,2.06546806167272,0,0,0,1.79513305028263,0,0,6.27793976435676,0,11.9147461997078
"ENSLAIG00005000108",0,0,0,0.336548664784753,0,1.44482516479643,0,9.98397672293051,3.04835357136564,1.25558795287135,6.69435410802213,15.3189593996243
"ENSLAIG00005000109",0,0,0.688489353890906,0,0,0,5.3853991508479,0,0,13.8114674815849,8.36794263502767,11.9147461997078
"ENSLAIG00005000110",1.25063417206911,0.939132936996611,0.688489353890906,1.00964599435426,0,0,10.7707983016958,0,0,7.53352771722811,0,6.80842639983304
"ENSLAIG00005000111",136.736002812889,158.713466352427,174.87629588829,118.465130004233,140.141940208224,159.653180710006,201.054901631655,156.415635325911,94.498960712335,205.916424270902,143.928613322476,115.743248797162
"ENSLAIG00005000112",0,0,0,0,0.934279601388161,0,3.59026610056527,0,3.04835357136564,8.78911567009947,0,11.9147461997078
"ENSLAIG00005000113",0,0,0,0,0,0,0,0,0,0,0,0
"ENSLAIG00005000115",1884.70569730815,2203.20587019405,1096.07505139432,1877.94154949892,2619.7200022924,1236.77034106575,364.412009207374,1411.06871017418,1225.43813568899,467.078718468143,1047.66641790546,980.413401575958
"ENSLAIG00005000116",169.252491286686,77.4784673022204,65.4064886196361,106.685926736767,40.641162660385,51.2912933502734,127.454446570067,26.6239379278147,73.1604857127755,100.447036229708,30.1245934860996,49.3610913987896
"ENSLAIG00005000118",241.789273266694,368.60967777117,435.125271659053,284.383621743116,325.12930128308,391.547619659834,461.349193922637,459.262929254803,347.512307135683,420.621964211903,466.931199034544,306.379187992487
"ENSLAIG00005000119",1446.14998096924,1979.22266472036,1804.53059654806,1641.34783815524,2556.18898939801,1605.92317067124,1127.34355557749,1035.0055869438,1557.70867496784,1320.87852642066,1000.80593914931,1499.55591456323
"ENSLAIG00005000120",1947.2374059116,1787.16997910455,1399.01036710632,1828.13234711078,1656.9448730619,1267.83408210887,893.976259040751,1098.23743952236,1079.11716426344,1025.81535749589,728.011009247407,1148.92195497183
"ENSLAIG00005000121",1115.982559543,1691.3784195309,2248.6062298077,1327.01138524628,2023.18247680606,1988.07942675989,2023.11494766853,3517.68779871252,2615.48736423172,1646.07580621434,3571.43791662981,2095.29322454862
"ENSLAIG00005000122",307.239128271644,360.627047806698,453.025994860216,333.183178136905,412.484444012873,368.430417023091,378.773073609635,266.239379278147,237.77157856652,405.554908777447,304.593111915007,379.569771790692
"ENSLAIG00005000123",0.833756114712738,2.34783234249153,15.8352551394908,1.68274332392376,6.07281740902305,8.66895098877861,12.5659313519784,13.3119689639073,60.9670714273129,5.02235181148541,15.0622967430498,61.2758375984974
"ENSLAIG00005000124",2.50126834413822,0.939132936996611,37.8669144639998,1.68274332392376,8.40851641249345,70.7964330750253,14.3610644022611,3.32799224097684,0,10.0447036229708,0,3.40421319991652
"ENSLAIG00005000125",0,0.939132936996611,0,0,1.40141940208224,0,0,0,0,0,0,0
"ENSLAIG00005000126",211.357175079679,268.592019981031,334.60582599098,269.912029157372,293.363794835883,333.754613067976,775.497477722097,252.92741031424,417.624439277093,758.375123534297,210.872154402697,592.333096785475
"ENSLAIG00005000127",57.9460499725353,5.63479762197966,46.8172760645816,39.376193779816,5.60567760832897,54.9033562622645,1.79513305028263,6.65598448195367,6.09670714273129,3.76676385861406,6.69435410802213,0
"ENSLAIG00005000128",0,4.22609821648475,16.5237444933817,1.68274332392376,3.26997860485856,6.50171324158396,8.97566525141316,9.98397672293051,0,31.3896988217838,13.3887082160443,5.10631979987478
"ENSLAIG00005000129",1.66751222942548,4.22609821648475,2.06546806167272,4.71168130698654,4.6713980069408,2.88965032959287,5.3853991508479,6.65598448195367,0,6.27793976435676,15.0622967430498,5.10631979987478
"ENSLAIG00005000130",192.180784441286,195.809217363793,240.282784507926,198.900260887789,206.942931707478,208.054823730687,256.704026190416,259.583394796193,298.738649993833,239.817298998428,185.768326497614,234.89071079424
"ENSLAIG00005000131",0,0,6.19640418501815,0,0.934279601388161,7.94653840638039,0,63.2318525785599,30.4835357136564,7.53352771722811,46.8604787561549,47.6589847988313
"ENSLAIG00005000132",6.25317086034554,18.7826587399322,678.162013582542,4.37513264220178,17.7513124263751,901.570902832975,533.154515933942,9018.85897304722,8111.66885340398,571.292518556465,8311.04062510948,6176.94485124853
"ENSLAIG00005000134",1.66751222942548,8.9217629014678,1.37697870778181,0.673097329569505,4.20425820624672,0.722412582398217,52.0588584581963,0,3.04835357136564,43.9455783504973,1.67358852700553,1.70210659995826
"ENSLAIG00005000135",428.133764904991,292.539909874444,249.233146108508,398.473619105147,236.839878951899,255.734054168969,183.103571128829,133.119689639073,219.481457138326,139.37026276872,202.50421176767,139.572741196577
"ENSLAIG00005000137",207.605272563472,194.400517958298,199.661912628363,185.774862961183,195.264436690126,202.997935653899,161.561974525437,242.943433591309,268.255114280177,163.226433873276,269.447752847891,177.019086395659
"ENSLAIG00005000138",156.329271508638,166.2265298484,135.632402716508,166.255040403668,185.921640676244,174.823844940369,136.43011182148,203.007526699587,195.094628567401,159.459670014662,256.059044631847,127.65799499687
"ENSLAIG00005000139",0,0,0,0,0.46713980069408,0,12.5659313519784,0,0,6.27793976435676,10.0415311620332,0
"ENSLAIG00005000140",24.5958053840258,57.7566756252915,77.1108076357815,26.9238931827802,57.4581954853719,84.5222721405914,84.3712533632837,113.151736193212,45.7253035704847,136.859086862977,55.2284213911826,47.6589847988313
"ENSLAIG00005000141",1989.34208970459,2235.60595652043,2046.87884911766,2052.94685518699,2241.80390353089,1957.73809829917,3057.11158463132,1926.90750752559,2758.75998208591,3646.22741513841,1320.46134780737,3550.59436751293
"ENSLAIG00005000142",366.435812416249,465.809936750319,795.205203743996,465.446803397313,498.905307141278,668.231638718351,631.886833699487,732.158293014904,1274.21179283084,693.084549984987,528.853974533749,1656.14972175939
"ENSLAIG00005000144",8.75443920448375,1.40869940549492,19.2777019089454,4.71168130698654,4.20425820624672,7.22412582398217,7.18053220113053,0,15.2417678568282,15.0670554344562,6.69435410802213,11.9147461997078
"ENSLAIG00005000145",502.754937171781,471.444734372299,414.470591042325,489.678307261815,462.001262886446,382.878668671055,495.456721878007,362.751154266475,359.705721421146,425.644316023388,446.848136710477,287.656015392946
