	LL07	LL09	LL11	LL08	LL10	LL12
ENSLAIG00005006884	1246	831	1110	1591	831	941
ENSLAIG00005006885	0	2	0	0	0	0
ENSLAIG00005006886	678	1320	1799	779	1010	1553
ENSLAIG00005006888	13	8	0	12	5	1
ENSLAIG00005006889	1289	2485	628	1657	1651	613
ENSLAIG00005006890	35	55	3337	60	168	2608
ENSLAIG00005006892	35	48	5	121	105	17
ENSLAIG00005006893	0	2	0	528	494	280
ENSLAIG00005006894	0	0	0	0	0	0
ENSLAIG00005006895	152	111	57	186	105	58
ENSLAIG00005006896	135	28	983	109	338	1534
ENSLAIG00005006900	137	110	45	172	111	54
ENSLAIG00005006901	195	125	67	277	116	73
ENSLAIG00005006902	0	1	41	1	0	145
ENSLAIG00005006904	1577	1149	449	1501	810	416
ENSLAIG00005006906	169	105	34	175	81	52
ENSLAIG00005006909	0	0	2	0	0	0
ENSLAIG00005006910	194	322	1008	336	305	816
ENSLAIG00005006911	0	1	0	7	0	0
ENSLAIG00005006913	400	1451	1036	853	3650	1152
ENSLAIG00005006914	3	4	0	1	5	0
ENSLAIG00005006915	259	4748	199	498	21176	199
ENSLAIG00005006916	3072	853	5948	4743	972	6258
ENSLAIG00005006917	0	0	0	0	0	0
ENSLAIG00005006918	0	0	0	0	0	0
ENSLAIG00005006919	0	0	0	0	0	0
ENSLAIG00005006920	584	448	3940	789	436	3928
ENSLAIG00005006921	11	7	2	6	6	4
ENSLAIG00005006922	104	173	112	219	230	115
ENSLAIG00005006923	240	263	309	263	274	325
ENSLAIG00005006924	2	0	0	4	1	0
ENSLAIG00005006927	554	530	286	677	451	335
ENSLAIG00005006929	311	321	287	361	286	337
ENSLAIG00005006930	0	0	0	0	0	0
ENSLAIG00005006931	150	176	153	291	173	174
ENSLAIG00005006932	14	63	5	25	23	1
ENSLAIG00005006933	245	199	175	246	231	192
ENSLAIG00005006934	261	190	142	320	206	129
ENSLAIG00005006938	202	226	99	246	225	110
ENSLAIG00005006939	112	100	166	132	110	123
ENSLAIG00005006941	316	347	174	454	300	147
ENSLAIG00005006942	0	7	7	3	7	2
ENSLAIG00005006945	915	712	194	1275	716	178
ENSLAIG00005006947	0	0	1	1	0	1
ENSLAIG00005006950	255	244	288	334	242	297
ENSLAIG00005006952	0	0	0	0	0	0
ENSLAIG00005006953	146	135	771	127	105	582
ENSLAIG00005006954	1	1	2	5	1	6
ENSLAIG00005006955	0	0	0	0	0	0
ENSLAIG00005006957	2	0	1	2	1	0
ENSLAIG00005006960	13	11	6	6	12	10
ENSLAIG00005006961	53	50	8	61	41	11
ENSLAIG00005006962	956	599	375	943	571	347
ENSLAIG00005006964	269	148	223	296	137	235
ENSLAIG00005006965	236	298	391	311	489	419
ENSLAIG00005006966	329	189	367	358	242	391
ENSLAIG00005006967	732	744	214	1041	665	173
ENSLAIG00005006968	156	235	192	213	276	152
ENSLAIG00005006969	1389	795	762	1673	883	790
ENSLAIG00005006970	120	98	50	135	84	44
ENSLAIG00005006972	1569	1243	670	1856	1096	559
ENSLAIG00005006973	0	0	0	0	0	0
ENSLAIG00005006975	930	670	284	841	529	249
ENSLAIG00005006977	71	67	46	107	75	72
ENSLAIG00005006978	384	261	189	245	291	129
ENSLAIG00005006979	907	851	905	1053	949	840
ENSLAIG00005006980	163	81	33	194	127	54
ENSLAIG00005006984	588	976	770	810	1124	636
ENSLAIG00005006986	49427	30235	6789	59654	18053	5024
ENSLAIG00005006987	3397	3157	670	4719	2974	554
ENSLAIG00005006988	7	2	18	11	5	18
ENSLAIG00005006989	2647	2694	4751	3672	3505	6116
ENSLAIG00005006991	45	90	29	58	82	21
ENSLAIG00005006993	0	0	0	0	0	0
ENSLAIG00005006995	401	507	826	615	571	730
ENSLAIG00005006996	141	1369	1990	271	1844	1852
ENSLAIG00005007000	423	401	379	690	554	279
ENSLAIG00005007001	59	22	46	31	21	38
ENSLAIG00005007003	72	50	26	76	42	25
ENSLAIG00005007004	205	115	94	160	141	102
ENSLAIG00005007005	1914	1454	1948	2045	1590	1926
ENSLAIG00005007007	0	0	0	0	0	0
ENSLAIG00005007008	40	16	20	38	28	16
ENSLAIG00005007010	2311	3944	866	2611	3292	881
ENSLAIG00005007011	234	338	1743	355	432	1553
ENSLAIG00005007012	505	629	564	656	637	611
ENSLAIG00005007013	1293	705	188	1494	768	166
ENSLAIG00005007015	250	193	112	242	168	115
ENSLAIG00005007016	58	72	158	102	57	109
ENSLAIG00005007018	5692	3849	1659	8288	4034	1759
ENSLAIG00005007019	91	44	44	85	40	52
ENSLAIG00005007020	304	283	226	283	304	228
ENSLAIG00005007021	0	0	48219	0	14	50500
ENSLAIG00005007023	546	618	429	760	559	425
ENSLAIG00005007024	16	1	1	2	17	4
ENSLAIG00005007025	896	892	467	1109	678	400
ENSLAIG00005007026	806	537	932	922	595	963
ENSLAIG00005007027	0	0	0	0	0	0
ENSLAIG00005007028	0	0	0	3	1	1
ENSLAIG00005007029	1221	693	428	1476	709	386
ENSLAIG00005007030	591	596	309	913	607	261
ENSLAIG00005007032	2	0	1	2	1	0
ENSLAIG00005007033	88	135	61	137	146	74
ENSLAIG00005007036	0	0	0	0	0	4
ENSLAIG00005007038	0	4	0	2	1	1
ENSLAIG00005007039	1975	1300	765	2593	1066	578
ENSLAIG00005007040	919	535	663	912	618	584
ENSLAIG00005007041	2436	2809	3008	4247	3388	2265
ENSLAIG00005007042	82	40	52	49	31	58
ENSLAIG00005007043	2868	1458	843	3288	1383	745
ENSLAIG00005007044	25	22	20	46	15	10
ENSLAIG00005007045	1678	2044	1298	2647	2090	1187
ENSLAIG00005007046	652	567	408	697	615	461
ENSLAIG00005007047	6211	10342	2042	20689	3701	2259
ENSLAIG00005007048	1868	4583	929	2030	5474	857
ENSLAIG00005007049	1064	863	578	1446	886	609
ENSLAIG00005007050	106	121	893	206	128	944
ENSLAIG00005007052	35	18	86	38	32	81
ENSLAIG00005007054	0	0	0	0	0	0
ENSLAIG00005007056	4	2	0	1	2	1
ENSLAIG00005007057	13	1	6	5	1	0
ENSLAIG00005007058	1716	1263	758	2219	1453	650
ENSLAIG00005007059	67	122	350	66	306	184
ENSLAIG00005007060	1	0	0	0	0	0
ENSLAIG00005007061	32	52	31	62	108	21
ENSLAIG00005007062	8	49	3	15	15	4
ENSLAIG00005007064	228	395	263	291	259	181
ENSLAIG00005007066	1426	1224	671	1855	1126	564
ENSLAIG00005007067	1	1	4	1	1	6
ENSLAIG00005007068	721	551	709	746	608	587
ENSLAIG00005007069	165	198	275	231	260	291
ENSLAIG00005007070	0	0	0	2	0	3
ENSLAIG00005007071	10	6	18	15	27	25
ENSLAIG00005007072	0	0	0	0	0	0
ENSLAIG00005007073	376	350	490	467	321	472
ENSLAIG00005007074	0	0	1	1	0	0
ENSLAIG00005007076	2066	1862	786	2549	1747	743
ENSLAIG00005007077	382	329	270	466	319	251
ENSLAIG00005007078	604	359	206	542	354	182
ENSLAIG00005007079	1164	1230	597	1666	1290	614
ENSLAIG00005007080	46	23	6	39	15	6
ENSLAIG00005007082	369	306	156	381	268	197
ENSLAIG00005007083	596	681	1742	940	814	2000
ENSLAIG00005007085	0	0	1	0	0	0
ENSLAIG00005007087	1195	468	47536	682	450	36906
ENSLAIG00005007088	15	32	12	17	13	0
ENSLAIG00005007089	1	3	102	4	25	253
ENSLAIG00005007090	2	3	2	3	1	2
ENSLAIG00005007092	0	1	2	0	5	2
ENSLAIG00005007093	73	66	88	878	181	126
ENSLAIG00005007094	6120	5330	382	7502	5462	323
ENSLAIG00005007096	171	169	146	218	182	159
ENSLAIG00005007097	32	33	18	52	34	17
ENSLAIG00005007098	477	136	121	398	92	121
ENSLAIG00005007099	0	1	0	5	1	0
ENSLAIG00005007101	0	0	0	0	27	0
ENSLAIG00005007103	657	497	201	825	480	150
ENSLAIG00005007104	9	3	0	5	12	1
ENSLAIG00005007105	94	65	157	91	62	142
ENSLAIG00005007107	679	438	693	621	366	669
ENSLAIG00005007109	172	164	167	250	183	150
ENSLAIG00005007110	37	44	47	21	29	32
ENSLAIG00005007111	0	0	0	0	0	0
ENSLAIG00005007112	1	1	1	0	1	0
ENSLAIG00005007114	222	274	178	353	261	206
ENSLAIG00005007115	829	862	613	1001	935	582
ENSLAIG00005007116	1	3	4	11	5	0
ENSLAIG00005007118	2	0	0	0	4	2
ENSLAIG00005007119	1846	2073	845	2533	2067	790
ENSLAIG00005007120	358	513	310	465	548	358
ENSLAIG00005007121	0	0	0	0	0	0
ENSLAIG00005007122	1047	1084	814	1477	1254	808
ENSLAIG00005007123	0	0	0	0	0	0
ENSLAIG00005007124	8	12	4	4	8	0
ENSLAIG00005007126	441	507	343	557	616	363
ENSLAIG00005007127	0	0	0	0	0	0
ENSLAIG00005007130	0	0	0	0	1	0
ENSLAIG00005007131	517	310	155	444	314	145
ENSLAIG00005007134	0	0	0	0	1	0
ENSLAIG00005007135	213	130	104	193	155	79
ENSLAIG00005007136	1171	706	501	1169	541	546
ENSLAIG00005007138	693	328	173	502	263	120
ENSLAIG00005007139	0	0	0	0	0	0
ENSLAIG00005007140	475	363	128	475	289	118
ENSLAIG00005007142	193	211	875	297	199	570
ENSLAIG00005007144	11	19	17	14	19	15
ENSLAIG00005007145	3944	3079	460	4097	2422	453
ENSLAIG00005007146	4	0	0	0	1	0
ENSLAIG00005007147	1986	1686	2730	3062	1662	2731
ENSLAIG00005007148	6084	18754	6487	12231	14787	6196
ENSLAIG00005007149	1316	1130	1896	2990	1420	2240
ENSLAIG00005007151	69	92	24	72	72	30
ENSLAIG00005007154	232	134	125	203	129	146
ENSLAIG00005007155	5	8	69	6	1	77
ENSLAIG00005007156	1959	1914	831	2473	1763	810
ENSLAIG00005007158	0	0	0	0	0	0
ENSLAIG00005007159	39	120	67	91	150	128
ENSLAIG00005007160	1625	1747	1090	2277	1631	1013
ENSLAIG00005007162	1726	2276	18	2384	3139	15
ENSLAIG00005007164	0	3	0	4	0	1
ENSLAIG00005007166	0	3	0	0	3	0
ENSLAIG00005007168	875	593	400	819	627	372
ENSLAIG00005007169	1541	3915	335	2091	3451	254
ENSLAIG00005007171	510	1560	856	966	2405	593
ENSLAIG00005007173	2502	2999	5191	4801	3468	4673
ENSLAIG00005007175	63	131	68	82	79	59
ENSLAIG00005007179	0	0	0	1	0	0
ENSLAIG00005007180	244	206	175	236	281	166
ENSLAIG00005007181	3	0	0	0	0	0
ENSLAIG00005007183	10189	4130	1822	16063	2464	1639
ENSLAIG00005007185	310	370	115	418	407	78
ENSLAIG00005007186	0	0	1	0	0	1
ENSLAIG00005007188	1032	966	543	1383	888	433
ENSLAIG00005007190	1318	974	606	1544	1005	571
ENSLAIG00005007191	0	0	51	0	0	18
ENSLAIG00005007192	0	0	0	1	0	0
ENSLAIG00005007193	0	0	1	0	0	1
ENSLAIG00005007195	408	471	329	649	417	243
ENSLAIG00005007197	938	841	422	1194	865	403
ENSLAIG00005007198	185	76	50	216	60	37
ENSLAIG00005007199	468	365	329	454	439	388
ENSLAIG00005007200	1643	1049	3696	2189	1353	3641
ENSLAIG00005007201	392	194	174	405	173	206
ENSLAIG00005007203	1	0	2	1	0	0
ENSLAIG00005007204	28	12	8	23	15	8
ENSLAIG00005007206	248	190	145	289	181	113
ENSLAIG00005007207	0	0	0	2	4	0
ENSLAIG00005007208	0	1	0	0	0	0
ENSLAIG00005007212	0	0	0	0	0	0
ENSLAIG00005007213	11	42	504	19	222	324
ENSLAIG00005007214	2549	5568	1791	3059	5224	1951
ENSLAIG00005007217	2	11	10	11	2	3
ENSLAIG00005007218	29	27	12	33	33	17
ENSLAIG00005007219	141	60	65	141	60	60
ENSLAIG00005007220	1949	1759	1690	2305	1691	1595
ENSLAIG00005007222	272	320	258	359	324	246
ENSLAIG00005007226	33	296	2510	57	301	2306
ENSLAIG00005007227	1730	1630	508	2694	1032	345
ENSLAIG00005007228	0	0	0	0	0	0
ENSLAIG00005007229	8	3	0	8	1	0
ENSLAIG00005007230	0	0	0	0	0	0
ENSLAIG00005007231	11	40	3	16	48	4
ENSLAIG00005007233	0	0	0	0	0	0
ENSLAIG00005007234	0	0	0	0	0	0
ENSLAIG00005007236	222	179	3442	432	204	1857
ENSLAIG00005007238	431	341	194	507	339	188
ENSLAIG00005007240	606	822	445	759	852	444
ENSLAIG00005007241	3713	2214	1599	4354	1517	1328
ENSLAIG00005007242	310	267	281	413	316	268
ENSLAIG00005007245	654	1082	299	845	1423	324
ENSLAIG00005007246	783	788	530	1198	859	541
ENSLAIG00005007247	356	382	360	466	442	368
ENSLAIG00005007250	1090	431	218	1265	404	205
ENSLAIG00005007252	245	865	105	337	763	128
ENSLAIG00005007253	0	2	1	0	0	5
ENSLAIG00005007254	35	32	93	34	26	128
ENSLAIG00005007256	0	0	0	1	0	0
ENSLAIG00005007257	39	32	30	55	41	63
ENSLAIG00005007258	198	241	205	251	241	220
ENSLAIG00005007259	70	120	85	114	91	80
ENSLAIG00005007260	656	257	159	613	213	163
ENSLAIG00005007261	1100	1072	4177	1509	993	4119
ENSLAIG00005007262	391	363	140	449	312	101
ENSLAIG00005007264	0	0	0	0	0	0
ENSLAIG00005007266	239	94	83	204	65	86
ENSLAIG00005007268	11	2	1	2	6	1
ENSLAIG00005007269	5	11	4	1	10	4
ENSLAIG00005007270	58	114	19	85	115	14
ENSLAIG00005007271	1597	1844	897	1984	2241	1015
ENSLAIG00005007272	1504	1063	625	1625	1217	542
ENSLAIG00005007274	1	1	2	2	1	8
ENSLAIG00005007275	14	13	19	12	8	10
ENSLAIG00005007276	454	428	485	623	447	438
ENSLAIG00005007278	0	0	0	0	0	0
ENSLAIG00005007281	437	333	521	466	298	520
ENSLAIG00005007283	0	2	4	7	8	1
ENSLAIG00005007284	4	14	9	14	13	9
ENSLAIG00005007286	13	18	1005	24	23	849
ENSLAIG00005007288	343	1811	3965	416	2817	3927
ENSLAIG00005007289	269	174	186	269	230	164
ENSLAIG00005007291	3	4	3	4	1	1
ENSLAIG00005007292	4618	4439	1909	5664	4079	1924
ENSLAIG00005007294	53	33	66	72	40	64
ENSLAIG00005007295	2424	2256	1040	3358	2287	926
ENSLAIG00005007296	30	6	28	48	3	7
ENSLAIG00005007297	2	4	4	0	6	0
ENSLAIG00005007298	354	291	94	468	193	56
ENSLAIG00005007299	118	107	637	221	125	802
ENSLAIG00005007301	8	17	418	12	41	678
ENSLAIG00005007302	5458	4606	10989	5239	6037	10681
ENSLAIG00005007303	2	0	0	0	0	3
ENSLAIG00005007304	0	0	0	2	6	0
ENSLAIG00005007306	142	152	93	323	144	66
ENSLAIG00005007307	274	380	57	379	377	64
ENSLAIG00005007308	265	234	179	275	193	145
ENSLAIG00005007310	3987	4766	1897	5291	4622	1574
ENSLAIG00005007311	57	30	97	76	36	101
ENSLAIG00005007312	204	65	102	181	59	128
ENSLAIG00005007313	587	644	369	801	604	341
ENSLAIG00005007314	1	0	0	0	1	0
ENSLAIG00005007315	143	432	98	240	473	68
ENSLAIG00005007316	611	497	255	702	426	219
ENSLAIG00005007317	0	0	0	1	0	0
ENSLAIG00005007318	2	6	27	3	5	16
ENSLAIG00005007319	0	1	0	0	1	0
ENSLAIG00005007320	23	7	25	20	1	6
ENSLAIG00005007321	578	583	321	786	603	413
ENSLAIG00005007322	12645	8150	435	12747	8092	949
ENSLAIG00005007323	1599	1890	1035	2273	1862	928
ENSLAIG00005007324	4	20	2	12	40	15
ENSLAIG00005007325	0	0	0	0	0	0
ENSLAIG00005007326	0	2	1	2	0	0
ENSLAIG00005007327	1179	1091	408	1359	989	337
ENSLAIG00005007328	836	709	688	959	814	726
ENSLAIG00005007329	610	2355	1948	640	1951	1557
ENSLAIG00005007330	1	3	2	2	2	2
ENSLAIG00005007331	17	6	7	10	8	2
ENSLAIG00005007332	5	11	7	3	14	10
ENSLAIG00005007333	0	0	0	2	0	0
ENSLAIG00005007334	264	245	171	285	209	190
ENSLAIG00005007335	627	603	343	798	546	380
ENSLAIG00005007336	57	541	12	167	514	28
ENSLAIG00005007337	0	0	0	0	0	1
ENSLAIG00005007338	192	222	67	273	377	93
ENSLAIG00005007339	18	9	3	4	8	8
ENSLAIG00005007340	574	1377	64	790	1059	57
ENSLAIG00005007341	258	831	621	446	948	464
ENSLAIG00005007342	149	216	73	167	210	76
ENSLAIG00005007343	3185	2754	2600	2808	2702	2068
ENSLAIG00005007344	89	70	92	69	89	50
ENSLAIG00005007345	323	188	171	292	175	130
ENSLAIG00005007348	1276	1248	695	1589	1508	535
ENSLAIG00005007349	456	474	323	657	427	361
ENSLAIG00005007350	2965	2074	1188	2924	1982	1022
ENSLAIG00005007351	726	542	363	750	554	377
ENSLAIG00005007354	1531	1526	2628	2085	1497	2871
ENSLAIG00005007356	34	11	8	51	12	15
ENSLAIG00005007357	0	0	0	2	0	1
ENSLAIG00005007358	585	478	331	676	492	360
ENSLAIG00005007359	2	7	53	6	14	39
ENSLAIG00005007360	70	66	12	111	47	27
ENSLAIG00005007361	9194	7870	5021	10660	6738	4903
ENSLAIG00005007362	1678	1184	1492	2049	1228	1127
ENSLAIG00005007363	435	346	309	477	529	320
ENSLAIG00005007364	5400	4664	1511	7087	4073	1285
ENSLAIG00005007365	16	9	31	9	12	17
ENSLAIG00005007366	1619	1273	677	2256	1427	608
ENSLAIG00005007368	122	87	60	107	85	90
ENSLAIG00005007369	23	3	4	31	6	3
ENSLAIG00005007371	0	6	1	2	1	1
ENSLAIG00005007372	97	374	65	102	440	62
ENSLAIG00005007373	0	2	174	1	9	204
ENSLAIG00005007374	1353	769	194	1152	612	156
ENSLAIG00005007378	389	373	154	494	321	176
ENSLAIG00005007379	58	57	108	51	74	95
ENSLAIG00005007380	0	0	0	0	0	0
ENSLAIG00005007381	23	7	2	68	3	1
ENSLAIG00005007382	656	306	369	607	261	438
ENSLAIG00005007383	81	92	18	106	68	35
ENSLAIG00005007385	1212	827	307	1511	799	262
ENSLAIG00005007386	57	282	75	154	450	85
ENSLAIG00005007388	6229	5725	2385	8368	5747	2111
ENSLAIG00005007389	0	0	0	0	0	0
ENSLAIG00005007391	0	0	0	0	0	0
ENSLAIG00005007394	2484	2114	1618	3002	2096	1724
ENSLAIG00005007395	1526	1732	1098	2046	1835	913
ENSLAIG00005007396	481	498	348	604	516	359
ENSLAIG00005007397	8195	5385	5872	13339	7247	6128
ENSLAIG00005007398	754	452	249	935	491	236
ENSLAIG00005007399	2494	1374	1616	2742	1350	1811
ENSLAIG00005007400	24271	16727	7622	31634	18838	8568
ENSLAIG00005007402	9	2	0	4	9	1
ENSLAIG00005007403	1350	291	758	768	421	811
ENSLAIG00005007404	5204	14439	3088	9592	15206	2166
ENSLAIG00005007406	1490	1829	1115	2068	1831	1159
ENSLAIG00005007408	2	20	5	10	15	0
ENSLAIG00005007409	724	571	436	836	490	370
ENSLAIG00005007410	10	4	4	10	1	1
ENSLAIG00005007411	0	0	0	5	0	0
ENSLAIG00005007412	4812	3216	2225	5774	2928	2297
ENSLAIG00005007413	221	161	107	234	181	128
ENSLAIG00005007415	763	725	499	1087	765	469
ENSLAIG00005007416	35	271	31	138	116	26
ENSLAIG00005007417	0	5	0	0	11	0
ENSLAIG00005007419	652	349	350	764	362	354
ENSLAIG00005007420	17	111	110	45	118	116
ENSLAIG00005007421	783	826	881	1024	809	1017
ENSLAIG00005007422	7	44	104	9	59	82
ENSLAIG00005007424	83	86	102	138	89	96
ENSLAIG00005007426	0	0	0	0	0	0
ENSLAIG00005007427	606	509	541	802	633	445
ENSLAIG00005007428	1139	661	638	1144	732	654
ENSLAIG00005007429	1386	1306	1626	1779	1344	1547
ENSLAIG00005007430	1157	1021	1024	1662	833	1155
ENSLAIG00005007431	869	1171	698	1491	1153	643
ENSLAIG00005007432	441	165	186	388	152	159
ENSLAIG00005007433	15788	24882	775	22432	25526	694
ENSLAIG00005007434	525	295	96	432	337	93
ENSLAIG00005007435	1	0	0	0	1	0
ENSLAIG00005007438	1401	3631	3255	2168	3054	3069
ENSLAIG00005007439	0	1	56	0	33	69
ENSLAIG00005007441	395	446	1509	379	704	1496
ENSLAIG00005007442	0	1	0	0	2	0
ENSLAIG00005007443	0	0	0	0	0	0
ENSLAIG00005007445	25	17	101	26	23	123
ENSLAIG00005007446	272	215	159	292	177	181
ENSLAIG00005007447	1481	2129	854	2539	2255	585
ENSLAIG00005007448	874	708	538	893	699	600
ENSLAIG00005007449	80	31	31	182	36	26
ENSLAIG00005007450	0	0	0	0	0	0
ENSLAIG00005007452	15	7	81	10	7	129
ENSLAIG00005007453	20	17	450	15	16	414
ENSLAIG00005007454	26105	11712	591	26089	13132	415
ENSLAIG00005007455	0	0	0	0	0	0
ENSLAIG00005007456	207	135	39	228	148	50
ENSLAIG00005007457	6826	7212	4711	9473	8617	3492
ENSLAIG00005007458	43	36	21	43	13	21
ENSLAIG00005007459	93	55	48	116	76	50
ENSLAIG00005007461	1	0	0	1	0	3
ENSLAIG00005007462	463	452	235	537	352	217
ENSLAIG00005007464	57	26	11	37	25	6
ENSLAIG00005007465	0	0	0	0	0	0
ENSLAIG00005007466	15	8	0	8	10	0
ENSLAIG00005007467	1389	573	684	1216	689	797
ENSLAIG00005007469	1	0	0	1	0	1
ENSLAIG00005007471	421	308	125	539	233	128
ENSLAIG00005007472	0	0	0	0	1	2
ENSLAIG00005007474	60	52	46	73	60	33
ENSLAIG00005007476	1214	1650	916	1488	1320	754
ENSLAIG00005007477	5485	2730	2680	5316	2816	2332
ENSLAIG00005007478	428	452	571	440	414	538
ENSLAIG00005007479	499	113	95	355	108	79
ENSLAIG00005007480	624	1794	528	716	1930	590
ENSLAIG00005007481	102	126	60	111	133	69
ENSLAIG00005007483	6	1	4	5	4	8
ENSLAIG00005007485	9682	17688	1184	10276	23278	1164
ENSLAIG00005007488	19114	15378	12956	18961	12276	11230
ENSLAIG00005007489	2599	2688	5385	4344	2389	4942
ENSLAIG00005007490	209	190	101	251	170	87
ENSLAIG00005007491	699	735	635	827	763	617
ENSLAIG00005007492	6273	1204	5223	6774	761	5903
ENSLAIG00005007494	97	50	15	81	36	23
ENSLAIG00005007495	0	0	0	0	0	0
ENSLAIG00005007496	5141	897	1014	5136	526	987
ENSLAIG00005007497	0	0	0	2	0	0
ENSLAIG00005007498	44	39	34	30	30	35
ENSLAIG00005007499	229	72	58	154	65	67
ENSLAIG00005007500	0	0	0	0	0	0
ENSLAIG00005007501	0	0	0	0	0	1
ENSLAIG00005007502	746	2191	1803	1523	2452	1515
ENSLAIG00005007503	1354	1244	6	1480	1792	13
ENSLAIG00005007504	884	627	5106	1327	709	4464
ENSLAIG00005007506	715	798	576	935	704	561
ENSLAIG00005007507	546	1147	1824	1128	1082	1504
ENSLAIG00005007508	446	336	333	554	395	383
ENSLAIG00005007509	1749	6709	1882	1825	9377	1681
ENSLAIG00005007510	0	2	94	0	9	215
ENSLAIG00005007511	772	428	133	674	339	130
ENSLAIG00005007512	1109	650	405	1079	541	446
ENSLAIG00005007513	0	0	0	1	3	0
ENSLAIG00005007514	0	0	0	1	0	0
ENSLAIG00005007515	1537	790	606	1627	879	618
ENSLAIG00005007516	1165	1157	722	1729	1141	586
ENSLAIG00005007518	0	1	0	0	0	3
ENSLAIG00005007519	1489	1491	861	1798	1580	847
ENSLAIG00005007520	11	1	14	3	6	21
ENSLAIG00005007521	0	1	34	13	7	18
ENSLAIG00005007523	256	165	114	286	204	138
ENSLAIG00005007524	954	782	745	1194	798	568
ENSLAIG00005007525	664	777	529	868	837	410
ENSLAIG00005007526	20	19	9	34	26	24
ENSLAIG00005007527	309	322	429	388	354	365
ENSLAIG00005007528	0	0	0	0	0	0
ENSLAIG00005007529	256	180	83	274	155	125
ENSLAIG00005007530	4	2	15	2	1	11
ENSLAIG00005007532	4360	4023	2592	4960	3407	1846
ENSLAIG00005007533	0	0	0	0	0	0
ENSLAIG00005007534	38	27	28	48	27	35
ENSLAIG00005007535	0	0	0	0	0	0
ENSLAIG00005007536	2627	15828	1584	8698	18789	1235
ENSLAIG00005007537	24	58	4	33	38	4
ENSLAIG00005007538	11	11	36	4	17	17
ENSLAIG00005007539	17508	13502	7030	19614	11073	6222
ENSLAIG00005007540	3715	2075	1366	5025	3474	1263
ENSLAIG00005007541	1112	746	416	1253	807	487
ENSLAIG00005007542	45	58	34	74	49	47
ENSLAIG00005007543	215	205	132	251	177	136
ENSLAIG00005007544	675	448	213	640	424	220
ENSLAIG00005007545	191	223	140	242	206	201
ENSLAIG00005007546	44	9	15	51	2	6
ENSLAIG00005007547	1644	629	438	1525	515	397
ENSLAIG00005007548	0	0	381867	4	2	389807
ENSLAIG00005007550	2582	1898	1090	2869	1698	1050
ENSLAIG00005007551	1121	1310	1409	2914	1639	1630
ENSLAIG00005007552	2261	4222	2298	3676	5312	2508
ENSLAIG00005007554	0	0	0	0	0	0
ENSLAIG00005007555	14	27	9	19	42	10
ENSLAIG00005007556	4339	1977	1972	5822	2121	1573
ENSLAIG00005007557	0	0	0	1	1	0
ENSLAIG00005007558	453	182	527	329	204	454
ENSLAIG00005007559	336	113	15	333	108	19
ENSLAIG00005007560	1487	1392	2199	2166	1806	2659
ENSLAIG00005007561	18	23	136	56	37	167
ENSLAIG00005007562	309	183	186	368	233	158
ENSLAIG00005007563	6	14	14	14	15	12
ENSLAIG00005007565	172	161	183	438	166	181
ENSLAIG00005007566	1241	678	720	1106	518	626
ENSLAIG00005007567	2	0	0	0	0	0
ENSLAIG00005007568	12	8	10	15	40	10
ENSLAIG00005007569	48	63	42	48	31	30
ENSLAIG00005007570	118	122	3	128	224	13
ENSLAIG00005007571	20	17	53	13	24	76
ENSLAIG00005007572	3	159	8	13	181	4
ENSLAIG00005007574	261	311	212	372	346	217
ENSLAIG00005007575	162	21	4331	181	42	4366
ENSLAIG00005007576	163	154	132	169	135	107
ENSLAIG00005007577	47	18	11	42	19	17
ENSLAIG00005007578	962	853	59	925	684	42
ENSLAIG00005007579	0	1	0	0	0	0
ENSLAIG00005007580	238	98	91	185	151	108
ENSLAIG00005007581	1128	915	665	1661	1235	730
ENSLAIG00005007583	13	71	7	53	190	2
ENSLAIG00005007584	4	2	0	11	6	0
ENSLAIG00005007585	1	1	0	0	0	0
ENSLAIG00005007586	0	1	0	0	1	0
ENSLAIG00005007587	1456	1501	376	2393	1490	311
ENSLAIG00005007588	0	0	0	0	0	0
ENSLAIG00005007589	0	2	0	3	2	0
ENSLAIG00005007590	40	32	65	58	13	48
ENSLAIG00005007592	5	5	2	3	6	1
ENSLAIG00005007593	0	0	0	0	0	0
ENSLAIG00005007594	0	0	0	2	2	3
ENSLAIG00005007595	33	14	11	30	22	8
ENSLAIG00005007596	1330	861	629	1603	826	599
ENSLAIG00005007597	738	661	471	1191	787	474
ENSLAIG00005007599	2	0	0	3	8	0
ENSLAIG00005007600	16	356	15	19	706	18
ENSLAIG00005007601	108	102	113	130	105	120
ENSLAIG00005007602	0	0	0	0	0	0
ENSLAIG00005007603	795	387	306	826	350	348
ENSLAIG00005007604	4	7	20	4	3	13
ENSLAIG00005007606	482	371	178	581	341	213
ENSLAIG00005007607	2680	3751	5057	3550	4059	5794
ENSLAIG00005007608	263	257	67	328	243	45
ENSLAIG00005007609	455	367	311	466	422	296
ENSLAIG00005007610	1	0	25	3	0	37
ENSLAIG00005007611	101	92	31	105	39	21
ENSLAIG00005007613	1309	1323	889	1820	1365	779
ENSLAIG00005007614	8673	28848	11681	20915	23497	5440
ENSLAIG00005007615	1946	1589	356	2681	1488	323
ENSLAIG00005007616	2193	1969	958	2631	1816	939
ENSLAIG00005007617	0	0	0	1	0	0
ENSLAIG00005007618	103	64	32	106	66	34
ENSLAIG00005007620	640	656	458	870	658	449
ENSLAIG00005007621	14	27	16	27	19	14
