	LL07	LL09	LL11	LL08	LL10	LL12
ENSLAIG00005000392	1	0	0	0	0	0
ENSLAIG00005000394	297	166	73	341	163	79
ENSLAIG00005000395	1051	1134	722	1567	1095	710
ENSLAIG00005000396	0	0	0	0	0	0
ENSLAIG00005000398	10609	13832	10821	13998	14751	12700
ENSLAIG00005000399	1686	1515	991	2193	1843	1161
ENSLAIG00005000403	13	10	1	8	5	2
ENSLAIG00005000406	0	0	0	2	0	0
ENSLAIG00005000408	2	8	0	3	8	0
ENSLAIG00005000410	1461	1652	1068	2978	1681	822
ENSLAIG00005000413	30	32	16	18	23	11
ENSLAIG00005000417	5	6	1	4	0	0
ENSLAIG00005000418	1138	1132	582	1436	1065	509
ENSLAIG00005000420	964	974	624	1159	1146	558
ENSLAIG00005000421	3147	3612	501	6499	2446	549
ENSLAIG00005000422	103	112	131	135	117	103
ENSLAIG00005000423	0	1	0	0	0	1
ENSLAIG00005000425	17	0	5	18	6	3
ENSLAIG00005000428	87	120	1313	98	131	1156
ENSLAIG00005000429	462	359	154	662	332	146
ENSLAIG00005000430	2	2	2	0	1	4
ENSLAIG00005000431	230	319	167	313	443	229
ENSLAIG00005000432	5512	4578	2803	7028	4636	2281
ENSLAIG00005000433	1014	516	2489	1368	572	1742
ENSLAIG00005000434	240	186	112	197	174	125
ENSLAIG00005000436	25	32	112	47	41	129
ENSLAIG00005000437	102	114	44	143	79	35
ENSLAIG00005000438	807	754	7651	777	5134	10913
ENSLAIG00005000439	629	732	550	752	826	549
ENSLAIG00005000442	3	18	7	3	11	5
ENSLAIG00005000443	523	416	274	647	329	242
ENSLAIG00005000444	4276	7920	22601	6062	6292	21284
ENSLAIG00005000446	374	321	229	372	331	254
ENSLAIG00005000448	0	0	1	0	0	0
ENSLAIG00005000449	0	0	0	0	0	0
ENSLAIG00005000450	49	45	24	47	31	30
ENSLAIG00005000451	184	323	731	278	415	579
ENSLAIG00005000454	312	334	187	425	318	187
ENSLAIG00005000455	24	14	77	27	15	76
ENSLAIG00005000456	278	218	125	297	303	147
ENSLAIG00005000457	0	0	1	0	0	0
ENSLAIG00005000459	1	4	4	0	0	4
ENSLAIG00005000460	13854	13921	449	18325	15707	418
ENSLAIG00005000461	1802	1537	598	2038	1675	562
ENSLAIG00005000462	0	2	43	0	58	110
