HMEL035283g1.t1	HMEL035283g1	HMEL035283g1
HMEL012055g1.t1	HMEL012055g1	HMEL012055g1
HMEL012054g1.t1	HMEL012054g1	HMEL012054g1
HMEL035277g1.t1	HMEL035277g1	HMEL035277g1
HMEL009616g1.t1	HMEL009616g1	HMEL009616g1
HMEL009615g1.t1	HMEL009615g1	HMEL009615g1
HMEL012360g1.t1	HMEL012360g1	HMEL012360g1
HMEL012354g1.t1	HMEL012354g1	HMEL012354g1
HMEL012352g1.t1	HMEL012352g1	HMEL012352g1
HMEL035271g1.t1	HMEL035271g1	HMEL035271g1
HMEL035273g1.t1	HMEL035273g1	HMEL035273g1
HMEL035268g1.t1	HMEL035268g1	HMEL035268g1
HMEL035267g1.t3	HMEL035267g1	HMEL035267g1
HMEL035267g1.t1	HMEL035267g1	HMEL035267g1
HMEL035267g1.t2	HMEL035267g1	HMEL035267g1
HMEL022429g1.t1	HMEL022429g1	HMEL022429g1
HMEL031208g1.t1	HMEL031208g1	HMEL031208g1
HMEL035262g1.t1	HMEL035262g1	HMEL035262g1
HMEL032719g1.t1	HMEL032719g1	HMEL032719g1
HMEL005834g1.t2	HMEL005834g1	HMEL005834g1
HMEL005834g1.t1	HMEL005834g1	HMEL005834g1
HMEL005833g1.t1	HMEL005833g1	HMEL005833g1
HMEL005832g1.t1	HMEL005832g1	HMEL005832g1
HMEL035257g1.t1	HMEL035257g1	HMEL035257g1
HMEL020899g1.t1	HMEL020899g1	HMEL020899g1
HMEL020898g1.t1	HMEL020898g1	HMEL020898g1
HMEL005714g1.t1	HMEL005714g1	HMEL005714g1
HMEL035254g1.t1	HMEL035254g1	HMEL035254g1
HMEL035254g1.t3	HMEL035254g1	HMEL035254g1
HMEL035254g1.t2	HMEL035254g1	HMEL035254g1
HMEL021292g1.t1	HMEL021292g1	HMEL021292g1
HMEL006879g1.t1	HMEL006879g1	HMEL006879g1
HMEL006881g1.t1	HMEL006881g1	HMEL006881g1
HMEL021508g1.t1	HMEL021508g1	HMEL021508g1
HMEL035249g1.t1	HMEL035249g1	HMEL035249g1
HMEL035248g1.t1	HMEL035248g1	HMEL035248g1
HMEL035247g1.t1	HMEL035247g1	HMEL035247g1
HMEL021580g1.t1	HMEL021580g1	HMEL021580g1
HMEL035242g1.t1	HMEL035242g1	HMEL035242g1
HMEL035242g1.t2	HMEL035242g1	HMEL035242g1
HMEL035242g1.t3	HMEL035242g1	HMEL035242g1
HMEL035242g1.t4	HMEL035242g1	HMEL035242g1
HMEL035241g1.t1	HMEL035241g1	HMEL035241g1
HMEL009436g1.t1	HMEL009436g1	HMEL009436g1
HMEL009440g1.t1	HMEL009440g1	HMEL009440g1
HMEL009440g1.t2	HMEL009440g1	HMEL009440g1
HMEL009440g1.t3	HMEL009440g1	HMEL009440g1
HMEL009438g2.t1	HMEL009438g2	HMEL009438g2
HMEL009443g2.t1	HMEL009443g2	HMEL009443g2
HMEL021784g1.t1	HMEL021784g1	HMEL021784g1
HMEL021150g1.t1	HMEL021150g1	HMEL021150g1
HMEL010751g2.t1	HMEL010751g2	HMEL010751g2
HMEL035226g1.t1	HMEL035226g1	HMEL035226g1
HMEL035222g1.t1	HMEL035222g1	HMEL035222g1
HMEL007759g1.t1	HMEL007759g1	HMEL007759g1
HMEL007758g1.t1	HMEL007758g1	HMEL007758g1
HMEL035219g1.t1	HMEL035219g1	HMEL035219g1
HMEL014600g1.t1	HMEL014600g1	HMEL014600g1
HMEL014601g1.t1	HMEL014601g1	HMEL014601g1
HMEL002385g1.t1	HMEL002385g1	HMEL002385g1
HMEL002385g1.t2	HMEL002385g1	HMEL002385g1
HMEL035215g1.t1	HMEL035215g1	HMEL035215g1
HMEL035214g1.t1	HMEL035214g1	HMEL035214g1
HMEL035213g1.t1	HMEL035213g1	HMEL035213g1
HMEL008024g1.t1	HMEL008024g1	HMEL008024g1
HMEL035212g1.t2	HMEL035212g1	HMEL035212g1
HMEL035212g1.t1	HMEL035212g1	HMEL035212g1
HMEL003967g1.t1	HMEL003967g1	HMEL003967g1
HMEL003966g2.t1	HMEL003966g2	HMEL003966g2
HMEL003966g2.t2	HMEL003966g2	HMEL003966g2
HMEL003966g1.t1	HMEL003966g1	HMEL003966g1
HMEL003965g1.t1	HMEL003965g1	HMEL003965g1
HMEL035208g1.t1	HMEL035208g1	HMEL035208g1
HMEL035199g1.t1	HMEL035199g1	HMEL035199g1
HMEL035198g1.t1	HMEL035198g1	HMEL035198g1
HMEL007695g1.t2	HMEL007695g1	HMEL007695g1
HMEL007695g1.t1	HMEL007695g1	HMEL007695g1
HMEL007697g1.t1	HMEL007697g1	HMEL007697g1
HMEL007698g1.t1	HMEL007698g1	HMEL007698g1
HMEL007698g1.t2	HMEL007698g1	HMEL007698g1
HMEL007700g1.t1	HMEL007700g1	HMEL007700g1
HMEL035197g1.t2	HMEL035197g1	HMEL035197g1
HMEL035197g1.t1	HMEL035197g1	HMEL035197g1
HMEL035196g1.t1	HMEL035196g1	HMEL035196g1
HMEL035195g1.t1	HMEL035195g1	HMEL035195g1
HMEL035191g1.t1	HMEL035191g1	HMEL035191g1
HMEL005867g2.t1	HMEL005867g2	HMEL005867g2
HMEL005867g1.t1	HMEL005867g1	HMEL005867g1
HMEL035190g1.t1	HMEL035190g1	HMEL035190g1
HMEL011012g1.t1	HMEL011012g1	HMEL011012g1
HMEL003003g1.t1	HMEL003003g1	HMEL003003g1
HMEL035186g1.t1	HMEL035186g1	HMEL035186g1
HMEL003005g1.t1	HMEL003005g1	HMEL003005g1
HMEL020887g1.t1	HMEL020887g1	HMEL020887g1
HMEL020887g1.t2	HMEL020887g1	HMEL020887g1
HMEL035184g1.t1	HMEL035184g1	HMEL035184g1
HMEL035184g1.t2	HMEL035184g1	HMEL035184g1
HMEL035184g1.t3	HMEL035184g1	HMEL035184g1
HMEL004702g1.t1	HMEL004702g1	HMEL004702g1
HMEL005340g3.t1	HMEL005340g3	HMEL005340g3
HMEL005340g2.t1	HMEL005340g2	HMEL005340g2
HMEL005340g1.t1	HMEL005340g1	HMEL005340g1
HMEL035182g1.t1	HMEL035182g1	HMEL035182g1
HMEL021154g1.t1	HMEL021154g1	HMEL021154g1
HMEL012293g1.t1	HMEL012293g1	HMEL012293g1
HMEL035181g1.t1	HMEL035181g1	HMEL035181g1
HMEL035179g1.t1	HMEL035179g1	HMEL035179g1
HMEL012299g1.t1	HMEL012299g1	HMEL012299g1
HMEL005065g1.t1	HMEL005065g1	HMEL005065g1
HMEL005066-RA	HMEL005066-RA	HMEL005066-RA
HMEL005067-RA	HMEL005067	HMEL005067
HMEL035178g1.t1	HMEL035178g1	HMEL035178g1
HMEL035177g1.t1	HMEL035177g1	HMEL035177g1
HMEL008200g2.t1	HMEL008200g2	HMEL008200g2
HMEL008202g1.t1	HMEL008202g1	HMEL008202g1
HMEL035175g1.t1	HMEL035175g1	HMEL035175g1
HMEL013437g1.t1	HMEL013437g1	HMEL013437g1
HMEL022278g1.t1	HMEL022278g1	HMEL022278g1
HMEL015616g1.t1	HMEL015616g1	HMEL015616g1
HMEL015615g1.t1	HMEL015615g1	HMEL015615g1
HMEL015614g1.t1	HMEL015614g1	HMEL015614g1
HMEL035167g1.t2	HMEL035167g1	HMEL035167g1
HMEL035167g1.t3	HMEL035167g1	HMEL035167g1
HMEL035167g1.t1	HMEL035167g1	HMEL035167g1
HMEL015612g1.t1	HMEL015612g1	HMEL015612g1
HMEL035620g1.t1	HMEL035620g1	HMEL035620g1
HMEL037070g1.t1	HMEL037070g1	HMEL037070g1
HMEL015603g1.t1	HMEL015603g1	HMEL015603g1
HMEL015602g1.t1	HMEL015602g1	HMEL015602g1
HMEL035164g1.t1	HMEL035164g1	HMEL035164g1
HMEL035162g1.t1	HMEL035162g1	HMEL035162g1
HMEL035161g1.t1	HMEL035161g1	HMEL035161g1
HMEL021623g1.t1	HMEL021623g1	HMEL021623g1
HMEL035153g1.t1	HMEL035153g1	HMEL035153g1
HMEL005749g6.t1	HMEL005749g6	HMEL005749g6
HMEL005749g4.t1	HMEL005749g4	HMEL005749g4
